"","order","extant","Percentage"
"1",0,45.2280913195704,0.75
"2",0.00192678227360308,45.2280741507832,0.75
"3",0.00385356454720617,45.2280741167458,0.75
"4",0.00578034682080925,45.2280593972776,0.75
"5",0.00770712909441233,45.2280593972222,0.75
"6",0.00963391136801541,45.2133730184807,0.75
"7",0.0115606936416185,45.2130803227742,0.75
"8",0.0134874759152216,45.2129915345569,0.75
"9",0.0154142581888247,45.1932451710445,0.75
"10",0.0173410404624277,45.1932451710446,0.75
"11",0.0192678227360308,45.1932396763594,0.75
"12",0.0211946050096339,45.1932396763595,0.75
"13",0.023121387283237,45.1932396763594,0.75
"14",0.0250481695568401,45.1846905929562,0.75
"15",0.0269749518304432,45.1836669510669,0.75
"16",0.0289017341040462,45.1835705623035,0.75
"17",0.0308285163776493,45.1832511522159,0.75
"18",0.0327552986512524,45.1832511198396,0.75
"19",0.0346820809248555,45.1832511198271,0.75
"20",0.0366088631984586,45.1813268272549,0.75
"21",0.0385356454720617,45.1812724807829,0.75
"22",0.0404624277456647,45.1812711639015,0.75
"23",0.0423892100192678,45.1812711639015,0.75
"24",0.0443159922928709,45.1808339254454,0.75
"25",0.046242774566474,45.1360998597737,0.75
"26",0.0481695568400771,45.1360998597738,0.75
"27",0.0500963391136802,45.1355068665238,0.75
"28",0.0520231213872832,45.1305696026089,0.75
"29",0.0539499036608863,45.1305696026088,0.75
"30",0.0558766859344894,45.1305694929882,0.75
"31",0.0578034682080925,45.1305666626451,0.75
"32",0.0597302504816956,45.1305666621447,0.75
"33",0.0616570327552987,45.1305665572291,0.75
"34",0.0635838150289017,45.1305665572171,0.75
"35",0.0655105973025048,45.1305641989072,0.75
"36",0.0674373795761079,45.1305641988515,0.75
"37",0.069364161849711,45.1305626034701,0.75
"38",0.0712909441233141,45.1305626034701,0.75
"39",0.0732177263969171,44.8490931090945,0.75
"40",0.0751445086705202,44.8144927167086,0.75
"41",0.0770712909441233,44.814487989832,0.75
"42",0.0789980732177264,44.8043642703454,0.75
"43",0.0809248554913295,44.8042277783376,0.75
"44",0.0828516377649326,44.804227698412,0.75
"45",0.0847784200385356,44.8042237307152,0.75
"46",0.0867052023121387,44.4793770319267,0.75
"47",0.0886319845857418,44.4793770319267,0.75
"48",0.0905587668593449,44.4784616401407,0.75
"49",0.092485549132948,44.4750780587519,0.75
"50",0.0944123314065511,44.4433242161598,0.75
"51",0.0963391136801541,44.4426695784106,0.75
"52",0.0982658959537572,44.4426695784107,0.75
"53",0.10019267822736,44.4426695784106,0.75
"54",0.102119460500963,44.4404337365199,0.75
"55",0.104046242774566,44.4403847421799,0.75
"56",0.10597302504817,44.4403847090065,0.75
"57",0.107899807321773,44.4403847090037,0.75
"58",0.109826589595376,44.4069435128914,0.75
"59",0.111753371868979,44.4069351562227,0.75
"60",0.113680154142582,44.4069351562226,0.75
"61",0.115606936416185,43.9803706771333,0.75
"62",0.117533718689788,43.9803706771332,0.75
"63",0.119460500963391,43.9803602677049,0.75
"64",0.121387283236994,43.5891333425443,0.75
"65",0.123314065510597,43.5506106538706,0.75
"66",0.1252408477842,43.5505031247029,0.75
"67",0.127167630057803,43.1696034741978,0.75
"68",0.129094412331407,42.7703068893169,0.75
"69",0.13102119460501,42.7703064406147,0.75
"70",0.132947976878613,42.7703064404302,0.75
"71",0.134874759152216,42.7702993115873,0.75
"72",0.136801541425819,42.4676833121594,0.75
"73",0.138728323699422,42.1096214499218,0.75
"74",0.140655105973025,41.7640052027818,0.75
"75",0.142581888246628,41.7640052027771,0.75
"76",0.144508670520231,41.7611055410645,0.75
"77",0.146435452793834,41.7599217732376,0.75
"78",0.148362235067437,41.759921773069,0.75
"79",0.15028901734104,41.7598986749484,0.75
"80",0.152215799614644,41.7590707420275,0.75
"81",0.154142581888247,41.7590707420275,0.75
"82",0.15606936416185,41.7590707420274,0.75
"83",0.157996146435453,41.7552778543843,0.75
"84",0.159922928709056,41.7552778543843,0.75
"85",0.161849710982659,41.7552778543454,0.75
"86",0.163776493256262,41.7552727745557,0.75
"87",0.165703275529865,41.7544053407289,0.75
"88",0.167630057803468,41.7482826797946,0.75
"89",0.169556840077071,41.7334188855563,0.75
"90",0.171483622350674,41.7334188855564,0.75
"91",0.173410404624277,41.4314351673099,0.75
"92",0.175337186897881,41.1224796942837,0.75
"93",0.177263969171484,41.0867659372719,0.75
"94",0.179190751445087,41.0863860710356,0.75
"95",0.18111753371869,41.0857918662185,0.75
"96",0.183044315992293,41.085770773256,0.75
"97",0.184971098265896,40.6275145129304,0.75
"98",0.186897880539499,40.6265579779208,0.75
"99",0.188824662813102,40.6265513529667,0.75
"100",0.190751445086705,40.5383364488354,0.75
"101",0.192678227360308,40.5382324713087,0.75
"102",0.194605009633911,40.1880208362504,0.75
"103",0.196531791907514,40.1880208278802,0.75
"104",0.198458574181118,40.1868284946293,0.75
"105",0.200385356454721,40.0489041544759,0.75
"106",0.202312138728324,40.0451641799168,0.75
"107",0.204238921001927,40.0450407192681,0.75
"108",0.20616570327553,40.0446357792429,0.75
"109",0.208092485549133,40.044635612985,0.75
"110",0.210019267822736,40.0446356129849,0.75
"111",0.211946050096339,40.044632791605,0.75
"112",0.213872832369942,40.0444935173034,0.75
"113",0.215799614643545,40.0444935173034,0.75
"114",0.217726396917148,40.0202999918182,0.75
"115",0.219653179190751,40.0202999918081,0.75
"116",0.221579961464355,40.0202999829426,0.75
"117",0.223506743737958,40.0202948309035,0.75
"118",0.225433526011561,40.0202948308972,0.75
"119",0.227360308285164,40.0202948308971,0.75
