"","Name","order","extant","Percentage","Times"
"15533","fungi_3755m.csv",0.113989637305699,11.9714514153308,0.75,63
"15534","fungi_3755m.csv",0.119170984455959,11.955308331584,0.75,63
"15535","fungi_3755m.csv",0.124352331606218,11.9553080965819,0.75,63
"15536","fungi_3755m.csv",0.129533678756477,11.9553079747116,0.75,63
"15537","fungi_3755m.csv",0.134715025906736,11.9542205978675,0.75,63
"15538","fungi_3755m.csv",0.139896373056995,11.954220409985,0.75,63
"15539","fungi_3755m.csv",0.145077720207254,11.848828148141,0.75,63
"15540","fungi_3755m.csv",0.150259067357513,11.6762262433214,0.75,63
"15541","fungi_3755m.csv",0.155440414507772,11.6762261301092,0.75,63
"15542","fungi_3755m.csv",0.160621761658031,11.6682920532615,0.75,63
"15543","fungi_3755m.csv",0.16580310880829,11.6678844421883,0.75,63
"15544","fungi_3755m.csv",0.170984455958549,11.6633399840061,0.75,63
"15545","fungi_3755m.csv",0.176165803108808,11.341074963304,0.75,63
"15546","fungi_3755m.csv",0.181347150259067,11.3408522351646,0.75,63
"15547","fungi_3755m.csv",0.186528497409326,11.3401322038308,0.75,63
"15548","fungi_3755m.csv",0.191709844559585,11.2812190779388,0.75,63
"15549","fungi_3755m.csv",0.196891191709845,11.2812189120415,0.75,63
"15550","fungi_3755m.csv",0.202072538860104,11.2812183195833,0.75,63
"15551","fungi_3755m.csv",0.207253886010363,11.0459658806189,0.75,63
"15552","fungi_3755m.csv",0.212435233160622,9.77560145039632,0.75,63
"15553","fungi_3755m.csv",0.217616580310881,9.77558979266423,0.75,63
"15554","fungi_3755m.csv",0.22279792746114,9.06427651916899,0.75,63
"15555","fungi_3755m.csv",0.227979274611399,9.0642758678828,0.75,63
"15556","fungi_3755m.csv",0.233160621761658,8.46106461244376,0.75,63
"15557","fungi_3755m.csv",0.238341968911917,8.46106181786083,0.75,63
"15558","fungi_3755m.csv",0.243523316062176,8.45710797021976,0.75,63
"15559","fungi_3755m.csv",0.248704663212435,8.45710677496099,0.75,63
"15560","fungi_3755m.csv",0.253886010362694,8.27640441544367,0.75,63
"15561","fungi_3755m.csv",0.259067357512953,8.27628279489052,0.75,63
"15562","fungi_3755m.csv",0.264248704663212,8.27605984301759,0.75,63
"15563","fungi_3755m.csv",0.269430051813472,8.27555676935268,0.75,63
"15564","fungi_3755m.csv",0.274611398963731,8.27446751801356,0.75,63
"15565","fungi_3755m.csv",0.27979274611399,8.27446218313077,0.75,63
"15566","fungi_3755m.csv",0.284974093264249,8.27441030850661,0.75,63
"15567","fungi_3755m.csv",0.290155440414508,7.44315945199755,0.75,63
"15568","fungi_3755m.csv",0.295336787564767,7.44269547967806,0.75,63
"15569","fungi_3755m.csv",0.300518134715026,7.44269218345839,0.75,63
"15570","fungi_3755m.csv",0.305699481865285,7.42490858529715,0.75,63
"15571","fungi_3755m.csv",0.310880829015544,7.42490522992339,0.75,63
"15572","fungi_3755m.csv",0.316062176165803,7.42490187453835,0.75,63
"15573","fungi_3755m.csv",0.321243523316062,7.36540196113948,0.75,63
"15574","fungi_3755m.csv",0.326424870466321,7.36537715820454,0.75,63
"15575","fungi_3755m.csv",0.33160621761658,7.36526315496481,0.75,63
"15576","fungi_3755m.csv",0.336787564766839,7.35496661243744,0.75,63
"15577","fungi_3755m.csv",0.341968911917098,7.3531239595113,0.75,63
"15578","fungi_3755m.csv",0.347150259067358,7.35312035441703,0.75,63
"15579","fungi_3755m.csv",0.352331606217617,7.32849579017466,0.75,63
"15580","fungi_3755m.csv",0.357512953367876,7.32838366303337,0.75,63
"15581","fungi_3755m.csv",0.362694300518135,7.32819141481462,0.75,63
"15582","fungi_3755m.csv",0.367875647668394,7.3177552750209,0.75,63
"15583","fungi_3755m.csv",0.373056994818653,7.31775087140159,0.75,63
"15584","fungi_3755m.csv",0.378238341968912,7.31774713650147,0.75,63
"15585","fungi_3755m.csv",0.383419689119171,7.31773324896789,0.75,63
"15586","fungi_3755m.csv",0.38860103626943,7.12326957334833,0.75,63
"15587","fungi_3755m.csv",0.393782383419689,7.04244410010467,0.75,63
"15588","fungi_3755m.csv",0.398963730569948,7.03460860840172,0.75,63
"15589","fungi_3755m.csv",0.404145077720207,7.01438576595687,0.75,63
"15590","fungi_3755m.csv",0.409326424870466,6.16232669717645,0.75,63
"15591","fungi_3755m.csv",0.414507772020725,6.09056967949718,0.75,63
"15592","fungi_3755m.csv",0.419689119170984,6.0713008793175,0.75,63
"15593","fungi_3755m.csv",0.424870466321244,6.07126203709592,0.75,63
"15594","fungi_3755m.csv",0.430051813471503,6.05309888132729,0.75,63
"15595","fungi_3755m.csv",0.435233160621762,6.05239014373135,0.75,63
"15596","fungi_3755m.csv",0.440414507772021,6.05165704641939,0.75,63
"15597","fungi_3755m.csv",0.44559585492228,5.12552254747217,0.75,63
"15598","fungi_3755m.csv",0.450777202072539,4.91722817926765,0.75,63
"15599","fungi_3755m.csv",0.455958549222798,4.62136793634613,0.75,63
"15600","fungi_3755m.csv",0.461139896373057,4.3437737524282,0.75,63
"15601","fungi_3755m.csv",0.466321243523316,4.34275113603536,0.75,63
"15602","fungi_3755m.csv",0.471502590673575,4.34236786099015,0.75,63
"15603","fungi_3755m.csv",0.476683937823834,4.32101054414553,0.75,63
"15604","fungi_3755m.csv",0.481865284974093,4.2637592786481,0.75,63
"15605","fungi_3755m.csv",0.487046632124352,4.2631151998491,0.75,63
"15606","fungi_3755m.csv",0.492227979274611,4.26303596672106,0.75,63
"15607","fungi_3755m.csv",0.49740932642487,4.20730753767747,0.75,63
"15608","fungi_3755m.csv",0.50259067357513,3.45503143093238,0.75,63
"15609","fungi_3755m.csv",0.507772020725389,3.44868895190402,0.75,63
"15610","fungi_3755m.csv",0.512953367875648,3.44267318697877,0.75,63
"15611","fungi_3755m.csv",0.518134715025907,2.99323602686514,0.75,63
"15612","fungi_3755m.csv",0.523316062176166,2.67015366113792,0.75,63
"15613","fungi_3755m.csv",0.528497409326425,2.63973744125754,0.75,63
"15614","fungi_3755m.csv",0.533678756476684,2.63128230824877,0.75,63
"15615","fungi_3755m.csv",0.538860103626943,2.60854127264895,0.75,63
"15616","fungi_3755m.csv",0.544041450777202,2.16133136782542,0.75,63
"15617","fungi_3755m.csv",0.549222797927461,1.37437204833592,0.75,63
"15618","fungi_3755m.csv",0.55440414507772,0.346647570400154,0.75,63
"15619","fungi_3755m.csv",0.559585492227979,0.263624717124269,0.75,63
"15620","fungi_3755m.csv",0.564766839378238,0.251039751173933,0.75,63
