"","order","extant","Percentage"
"1",0,13.7118969307802,0.25
"2",0.00518134715025907,13.7118967981063,0.25
"3",0.0103626943005181,13.7110415599546,0.25
"4",0.0155440414507772,13.7108505789214,0.25
"5",0.0207253886010363,13.7086757564043,0.25
"6",0.0259067357512953,13.6803781286391,0.25
"7",0.0310880829015544,13.6266973025794,0.25
"8",0.0362694300518135,13.5648263510544,0.25
"9",0.0414507772020725,13.3491904391139,0.25
"10",0.0466321243523316,12.3691255274092,0.25
"11",0.0518134715025907,11.100942112517,0.25
"12",0.0569948186528497,8.08472717997076,0.25
"13",0.0621761658031088,1.8276930473299,0.25
"14",0.0673575129533679,0.171799660709045,0.25
"15",0.0725388601036269,0.0935040658987223,0.25
"16",0.077720207253886,0.0371117627038842,0.25
"17",0.0829015544041451,0.0111926847507364,0.25
"18",0.0880829015544041,0.00561200181761983,0.25
"19",0.0932642487046632,0,0.25
