"","Simulation.scenarios","Stability","Simulation.scenarios","Stability"
"1","Most-to-least abundant taxa removal",19.5244108472836,"Least-to-most abundant taxa removal",21.6797505301408
"2","Most-to-least abundant taxa removal",8.3109492721014,"Least-to-most abundant taxa removal",13.9422668772426
"3","Most-to-least abundant taxa removal",19.7363707456473,"Least-to-most abundant taxa removal",21.8608577202141
"4","Most-to-least abundant taxa removal",18.0677640250959,"Least-to-most abundant taxa removal",20.2612599951712
"5","Most-to-least abundant taxa removal",19.7804064500069,"Least-to-most abundant taxa removal",21.9029983124353
"6","Most-to-least abundant taxa removal",10.6704839999569,"Least-to-most abundant taxa removal",15.2285053260406
"7","Most-to-least abundant taxa removal",19.8227187176471,"Least-to-most abundant taxa removal",21.7791646405998
"8","Most-to-least abundant taxa removal",11.9297193905504,"Least-to-most abundant taxa removal",16.6888693536997
"9","Most-to-least abundant taxa removal",19.8876702815546,"Least-to-most abundant taxa removal",21.9136098872106
"10","Most-to-least abundant taxa removal",19.7963776685423,"Least-to-most abundant taxa removal",21.5861120015754
"11","Most-to-least abundant taxa removal",19.6591805757442,"Least-to-most abundant taxa removal",21.8131701416112
"12","Most-to-least abundant taxa removal",15.8948235137758,"Least-to-most abundant taxa removal",20.4310747086864
"13","Most-to-least abundant taxa removal",19.7504015585651,"Least-to-most abundant taxa removal",22.0959668455818
"14","Most-to-least abundant taxa removal",11.4186449940729,"Least-to-most abundant taxa removal",17.6374583644447
"15","Most-to-least abundant taxa removal",19.9964303165383,"Least-to-most abundant taxa removal",21.6974305439456
"16","Most-to-least abundant taxa removal",16.0374411041769,"Least-to-most abundant taxa removal",19.3775927238127
"17","Most-to-least abundant taxa removal",19.7356995187414,"Least-to-most abundant taxa removal",21.8355373607456
"18","Most-to-least abundant taxa removal",18.0281083237513,"Least-to-most abundant taxa removal",21.2162843766536
"19","Most-to-least abundant taxa removal",19.7911218480364,"Least-to-most abundant taxa removal",22.1871840151695
"20","Most-to-least abundant taxa removal",12.5988388837373,"Least-to-most abundant taxa removal",17.3170244015576
