"","Name","Sample","Percent","Times","Area"
"88","Bacteria_5120m.csv",9,0.75,8,18.064751545912
"89","Bacteria_5120m.csv",9,0.75,9,16.5665045463939
"90","Bacteria_5120m.csv",9,0.75,10,16.0514633156649
"91","Bacteria_5120m.csv",10,0.75,1,15.7272882122241
"92","Bacteria_5120m.csv",10,0.75,2,19.0754059937606
"93","Bacteria_5120m.csv",10,0.75,3,17.5506041584644
"94","Bacteria_5120m.csv",10,0.75,4,16.0571207669002
"95","Bacteria_5120m.csv",10,0.75,5,16.6841276434491
"96","Bacteria_5120m.csv",10,0.75,6,16.7040205977099
"97","Bacteria_5120m.csv",10,0.75,7,15.5773993893998
"98","Bacteria_5120m.csv",10,0.75,8,16.9702987622097
"99","Bacteria_5120m.csv",10,0.75,9,17.9091663171677
"100","Bacteria_5120m.csv",10,0.75,10,18.3135467307812
"101","Bacteria_5120m.csv",11,0.75,1,18.5845588670975
"102","Bacteria_5120m.csv",11,0.75,2,17.9640762065224
"103","Bacteria_5120m.csv",11,0.75,3,18.5905384293016
"104","Bacteria_5120m.csv",11,0.75,4,14.3134810872377
"105","Bacteria_5120m.csv",11,0.75,5,17.4636110700534
"106","Bacteria_5120m.csv",11,0.75,6,18.0134047768154
"107","Bacteria_5120m.csv",11,0.75,7,15.4225469536121
"108","Bacteria_5120m.csv",11,0.75,8,16.9639308615114
"109","Bacteria_5120m.csv",11,0.75,9,18.1801076022151
"110","Bacteria_5120m.csv",11,0.75,10,18.0512966396623
"111","Bacteria_5120m.csv",12,0.75,1,14.3449153009559
"112","Bacteria_5120m.csv",12,0.75,2,15.2844074564642
"113","Bacteria_5120m.csv",12,0.75,3,16.4884345738253
"114","Bacteria_5120m.csv",12,0.75,4,15.4682354649958
"115","Bacteria_5120m.csv",12,0.75,5,14.5994447033006
"116","Bacteria_5120m.csv",12,0.75,6,13.7908256487762
"117","Bacteria_5120m.csv",12,0.75,7,13.8613507981988
"118","Bacteria_5120m.csv",12,0.75,8,13.7094017113505
"119","Bacteria_5120m.csv",12,0.75,9,14.1000056055062
"120","Bacteria_5120m.csv",12,0.75,10,14.2060522418448
"121","Bacteria_5120m.csv",13,0.75,1,17.4529426091992
"122","Bacteria_5120m.csv",13,0.75,2,15.8591344217431
"123","Bacteria_5120m.csv",13,0.75,3,15.5063682686138
"124","Bacteria_5120m.csv",13,0.75,4,17.3910525396164
"125","Bacteria_5120m.csv",13,0.75,5,19.9075522537853
"126","Bacteria_5120m.csv",13,0.75,6,18.6568660004159
"127","Bacteria_5120m.csv",13,0.75,7,16.059069281341
"128","Bacteria_5120m.csv",13,0.75,8,16.3104378061058
"129","Bacteria_5120m.csv",13,0.75,9,16.1896169003506
"130","Bacteria_5120m.csv",13,0.75,10,18.3303121193673
"131","Bacteria_5120m.csv",14,0.75,1,10.6323720723433
"132","Bacteria_5120m.csv",14,0.75,2,11.1295063405419
"133","Bacteria_5120m.csv",14,0.75,3,10.8436410326338
"134","Bacteria_5120m.csv",14,0.75,4,11.3923480666122
"135","Bacteria_5120m.csv",14,0.75,5,12.0812442983672
"136","Bacteria_5120m.csv",14,0.75,6,10.4338892583615
"137","Bacteria_5120m.csv",14,0.75,7,11.9058464181908
"138","Bacteria_5120m.csv",14,0.75,8,13.515411345568
"139","Bacteria_5120m.csv",14,0.75,9,11.4352585393776
"140","Bacteria_5120m.csv",14,0.75,10,12.2442023163052
"141","Bacteria_5120m.csv",15,0.75,1,16.8780779966315
"142","Bacteria_5120m.csv",15,0.75,2,17.4079062766802
"143","Bacteria_5120m.csv",15,0.75,3,16.1814853874818
"144","Bacteria_5120m.csv",15,0.75,4,17.7571585938999
"145","Bacteria_5120m.csv",15,0.75,5,16.8536221949693
"146","Bacteria_5120m.csv",15,0.75,6,16.8978619229841
"147","Bacteria_5120m.csv",15,0.75,7,16.8281383022907
"148","Bacteria_5120m.csv",15,0.75,8,18.3866865443308
"149","Bacteria_5120m.csv",15,0.75,9,17.7143429794467
"150","Bacteria_5120m.csv",15,0.75,10,16.821280395724
"151","Bacteria_5120m.csv",16,0.75,1,14.2557306405147
"152","Bacteria_5120m.csv",16,0.75,2,14.4278995925971
"153","Bacteria_5120m.csv",16,0.75,3,14.4957955207478
"154","Bacteria_5120m.csv",16,0.75,4,16.4719450349992
