"","","Node.number","Edge.number","Positive.edge","Negative.edge","Average.degree","Diameter","Clustering.coefficient","Average.path.length","Modularity","Centralization.closeness","Centralization.betweenness","Edge.connectivity","Average.neighborhood","Connectance","Nestedness"
"topo",fungi_3755m_sample_1,154,564,564,0,7.32467532467532,12,0.443100143747005,4.10784620193811,0.428263794577738,0.0167000281707259,0.147548442557275,0,8.32467532467532,0.0478736949325185,0.0923038523205252
"topo",fungi_3755m_sample_2,75,154,154,0,4.10666666666667,7,0.489940828402367,2.93711967545639,0.594935908247596,0.0071947435241334,0.0639258522912725,0,5.10666666666667,0.0554954954954955,0.0759097873383588
"topo",fungi_3755m_sample_3,152,568,568,0,7.47368421052632,14,0.439092172301992,3.87686367049233,0.404780797460821,0.0167164713761271,0.105481994963003,0,8.47368421052632,0.0494945974207041,0.0986769109824616
"topo",fungi_3755m_sample_4,106,252,252,0,4.75471698113208,7,0.451212938005391,2.96974133723768,0.564129818594104,0.00739437791530854,0.0501839006153261,0,5.75471698113208,0.0452830188679245,0.0777015123191169
"topo",fungi_3755m_sample_5,135,514,514,0,7.61481481481481,9,0.456496293406165,3.0496245510937,0.37533119350785,0.0131081732751319,0.0629095795380546,0,8.61481481481482,0.0568269762299613,0.113682152603988
"topo",fungi_3755m_sample_6,2,1,1,0,1,1,NaN,1,-0.5,NaN,NaN,1,2,1,0
"topo",fungi_3755m_sample_7,141,558,558,0,7.91489361702128,8,0.44903777619387,3.03415477734544,0.387589766318521,0.012998062467514,0.056715166729367,0,8.91489361702128,0.0565349544072948,0.106529182782986
"topo",fungi_3755m_sample_8,165,521,521,0,6.31515151515152,13,0.444425502898057,4.95314568075532,0.53844481857936,0.0180483063013578,0.300330579281032,0,7.31515151515152,0.0385070214338507,0.0689789912159319
"topo",fungi_3755m_sample_9,154,523,523,0,6.79220779220779,15,0.44692005242464,5.00543812846296,0.467206402246197,0.018405702266679,0.252874741543185,0,7.79220779220779,0.0443935149817503,0.0798933627845085
"topo",fungi_3755m_sample_10,92,218,218,0,4.73913043478261,14,0.562621674237508,5.76335282651072,0.601569733187442,0.016854440050143,0.289471590873998,0,5.73913043478261,0.0520783564261825,0.0749693435525461
"topo",fungi_3755m_sample_11,150,575,575,0,7.66666666666667,13,0.440087648483451,3.76376496191512,0.418561814744801,0.0175856194763097,0.105269588998502,0,8.66666666666667,0.0514541387024608,0.098384699492219
"topo",fungi_3755m_sample_12,114,296,296,0,5.19298245614035,13,0.490580256217031,5.12152420185376,0.511379200146092,0.019406128941195,0.336160326435315,0,6.19298245614035,0.0459555969569943,0.0837277356586961
"topo",fungi_3755m_sample_13,144,511,511,0,7.09722222222222,7,0.462260301917585,2.97691773689691,0.436701758954661,0.0103566214404808,0.0564802939817076,0,8.09722222222222,0.0496309246309246,0.0956195666594638
"topo",fungi_3755m_sample_14,125,266,266,0,4.256,13,0.411149825783972,5.11794871794872,0.600500310927695,0.014689073782415,0.243189778415311,0,5.256,0.0343225806451613,0.0546689892028875
"topo",fungi_3755m_sample_15,100,337,337,0,6.74,7,0.433257055682685,2.86889460154242,0.435981649922074,0.0190659714026585,0.0934500829300398,0,7.74,0.0680808080808081,0.133735394568019
"topo",fungi_3755m_sample_16,123,387,387,0,6.29268292682927,13,0.453922315308454,4.83007448789572,0.53781156314057,0.0271961993774989,0.357953405467963,0,7.29268292682927,0.0515793682526989,0.0917327199511222
"topo",fungi_3755m_sample_17,45,66,66,0,2.93333333333333,5,0.430188679245283,2.67307692307692,0.537075298438935,0.0248031938342869,0.074416784205608,0,3.93333333333333,0.0666666666666667,0.0980918204602415
"topo",fungi_3755m_sample_18,72,137,137,0,3.80555555555556,10,0.444933920704846,4.86400499064255,0.639458681869039,0.0230938775596044,0.291152025348755,0,4.80555555555556,0.0535993740219092,0.0805908958021634
"topo",fungi_3755m_sample_19,145,534,534,0,7.36551724137931,14,0.455676516329705,4.12175118401294,0.437085314704933,0.0191908305873582,0.136416970221638,0,8.36551724137931,0.0511494252873563,0.0966041038194847
"topo",fungi_3755m_sample_20,138,389,389,0,5.63768115942029,14,0.477494577006508,5.38358076386245,0.579992202007653,0.0216643344073772,0.341340913128571,0,6.63768115942029,0.0411509573680313,0.0678117367986649
